mass [GeV]                    lifetime [cm]                 optimal pt Cut                optimal Ias Cut               min. excluded xsection [pb]   actual xsection [pb]          
100                           1                             30                            0.05                          30.2564                       5.8234                        
200                           1                             50                            0.05                          15.4792                       0.3792                        
300                           1                             0                             0.0                           10000.0000                    0.0675                        
400                           1                             50                            0.05                          112.1734                      0.0175                        
500                           1                             0                             0.0                           10000.0000                    0.0055                        
100                           5                             30                            0.05                          1.1529                        5.8234                        
200                           5                             30                            0.30                          0.7851                        0.3792                        
300                           5                             50                            0.30                          0.3850                        0.0675                        
400                           5                             50                            0.30                          0.3698                        0.0175                        
500                           5                             50                            0.30                          0.3626                        0.0055                        
100                           10                            50                            0.30                          0.5407                        5.8234                        
200                           10                            50                            0.30                          0.1973                        0.3792                        
300                           10                            50                            0.30                          0.1247                        0.0675                        
400                           10                            50                            0.40                          0.0776                        0.0175                        
500                           10                            50                            0.30                          0.0726                        0.0055                        
100                           50                            50                            0.30                          0.1424                        5.8234                        
200                           50                            50                            0.30                          0.0391                        0.3792                        
300                           50                            50                            0.40                          0.0228                        0.0675                        
400                           50                            50                            0.40                          0.0140                        0.0175                        
500                           50                            50                            0.40                          0.0120                        0.0055                        
100                           100                           50                            0.30                          0.1298                        5.8234                        
200                           100                           50                            0.40                          0.0316                        0.3792                        
300                           100                           50                            0.40                          0.0167                        0.0675                        
400                           100                           50                            0.40                          0.0104                        0.0175                        
500                           100                           50                            0.40                          0.0091                        0.0055                        
